PEDIALYTE MZN SOL 500ML        ;ABBOTT    ;$31.62;$15.78;10953;30;GLUCOSA MONOHIDRATADA-CLORURO DE SODIO-CITRATO DE POTASIO
PEDIALYTE DZNO SOL 500ML       ;ABBOTT    ;$31.62;$15.78;10955;30;NO ESPECIFICADO
PEDIALYTE COCO SOL 500ML       ;ABBOTT    ;$31.62;$15.75;10957;30;GLUCOSA MONOHIDRATADA-CLORURO DE SODIO-CITRATO DE POTASIO
PEDIASURE VLLA LIQ 236ML       ;ABBOTT    ;$43.10;$37.50;10962;10;NO ESPECIFICADO
OGASTRO 30MG CAP C7            ;TAKEDA    ;$407.50;$266.59;10990;25;LANSOPRAZOL
PEDIALYTE PINA SOL 500ML       ;ABBOTT    ;$29.20;$22.80;11018;30;NO ESPECIFICADO
A1.KLARICID 12H 125MG SUSP 60ML   ;ABBOTT    ;$467.70;$297.97;11028;30;CLARITROMICINA
A1.KLARICID 12H 250MG SUSP 60ML   ;ABBOTT    ;$608.20;$387.48;11030;30;CLARITROMICINA
TEOLONG 100MG CAP C20          ;ABBOTT    ;$188.00;$119.77;11079;25;TEOFILINA
TEOLONG 300MG CAP C20          ;ABBOTT    ;$311.60;$198.52;11081;0;TEOFILINA
VERISAN TRIPLEX TAB C20        ;ABBOTT    ;$241.80;$193.44;11082;30;RUTINA-AESCULUS HIPPOCASTANUM-MIROTON
ANEREX SOL. Y COMP. 120 MG/100 ML. 24.150/16.060 MG/48. C/115 ML.,C/1;PROD CIENT;$224.32;$130.77;11130;30;HIERRO-COMPLEJO B
FLUXEDAN JBE. 6 MG./12 MG./10 ML. C/225 ML.;PROD CIENT;$204.42;$167.63;11134;30;BROMHEXINA-OXELADINA
LIBERAN CPR C60                ;PROD CIENT;$164.37;$134.78;11135;30;SIMETICONA
LIBERAN PIPENZOLATO GTS 22ML   ;A.F       ;$108.00;$70.09;11136;30;NO ESPECIFICADO
AKABAR SUSP. 200 MG./5 ML. C/90 ML.;PROD CIENT;$146.83;$115.77;11145;25;NIFUROXAZIDA
ACLIMAFEL 100MG CAP C20        ;PROD CIENT;$456.72;$360.81;11149;30;VERALIPRIDA
DOLAREN GRAG C30               ;PROD CIENT;$512.87;$402.45;11150;30;DICLOFENACO-CARISOPRODOL
PATECTOR INY. 150 MG./10 MG./1 ML. C/1;PROD CIENT;$235.20;$153.07;11153;25;ALGESTONA-ESTRADIOL
REVAPOL CPR C6                 ;TEOFARMA  ;$65.00;$48.59;11155;0;NO ESPECIFICADO
LM6 PEDIATRICO SOL. GOTAS 80 MG./0.5 MG./1 ML. C/30 ML.;PROD CIENT;$94.01;$72.05;11157;25;PARACETAMOL-CLORFENAMINA
MAXITROL UNG 3.5G              ;ALCON     ;$456.03;$371.58;11163;30;NEOMICINA-POLIMIXINA B-DEXAMETASONA
MYRIACYL OFT GTS 5ML           ;ALCON     ;$107.64;$87.70;11164;30;TROPICAMIDA
NATURALAG UNG 3.5G             ;ALCON     ;$206.33;$89.58;11165;30;VASELINA-LANOLINA
BETOPTIC S GTS SUSP 5ML        ;ALCON     ;$596.87;$486.35;11179;30;BETAXOLOL
TEARS NATURALE II SOL 15ML     ;ALCON     ;$600.38;$229.05;11181;30;DUASORB HIDROXIPROPILMETILCELULOSA-DEXTRAN POLYQUAD
NATURALAG GTS 15ML             ;ALCON     ;$205.57;$134.95;11189;30;     
MAXITROL GTS SUSP 5ML          ;ALCON     ;$585.97;$477.46;11190;30;NEOMICINA-POLIMIXINA B-DEXAMETASONA
MAXICROM 4% GTS 10ML           ;ALCON     ;$191.37;$155.94;11191;30;NO ESPECIFICADO
FLUORMETIL GTS 5ML             ;ALCON     ;$74.90;$58.80;11196;25;NO ESPECIFICADO
BLEFAMIDE SF SUSP 10ML         ;ALLERGAN  ;$530.26;$448.51;11226;30;SULFACETAMIDA-PREDNISOLONA
FLUFORTE SUSP 5ML              ;ALLERGAN  ;$339.82;$287.42;11228;30;FLUOROMETOL
PREDNEFRIN SF 1% SOL 5ML       ;ALLERGAN  ;$379.57;$321.05;11229;25;PREDNISOLONA
SOLTRICTOR SOL 15ML            ;ALLERGAN  ;$213.28;$180.38;11230;25;NAFAZOLINA
OXYLIN FILM OFT SOL 10ML       ;ALLERGAN  ;$483.74;$409.16;11233;30;OXIMETAZOLINA
LAGRIFILM PLUS OFT SOL 15ML    ;ALLERGAN  ;$409.46;$346.33;11236;30;ALCOHOL POLIVINILICO-POVIDONA
ACULAREN OFT 0.5% SOL 5ML      ;ALLERGAN  ;$535.66;$453.05;11238;30;KETOROLOCA
REFRESH TEARS SOL 15ML         ;ALLERGAN  ;$656.80;$555.52;11240;25;CARBOXIMETILCELULOSA SODICA
ESENCIA CLAVO AMERICAN SOL 5ML ;AMER CARE ;$13.22;$10.56;11265;30;NO ESPECIFICADO
HIPOGLOS POMADA  TUBO C/60 G.;ANDROMACO ;$122.75;$95.75;11280;30;OXIDO DE ZINC-ACIDO BORICO-VITAMINA A-ALANTOINA
PASTA DE LASSAR ANDROMACO PASTA 25 G./100 G. C/60 G.;ANDROMACO ;$84.96;$57.63;11284;30;OXIDO DE ZINC
PASTA DE LASSAR ANDROMACO POMADA 25 G./100 G. C/30 G.;ANDROMACO ;$39.34;$26.68;11286;30;OXIDO DE ZINC
HIPOGLOS POMADA  TARRO C/60 G.;ANDROMACO ;$117.65;$79.80;11289;30;VITAMINA A-ACIDO BORICO-OXIDO DE ZINC-ALANTOINA-TA
HIPOGLOS PLUS TBO PDA 45G      ;ANDROMACO ;$94.97;$74.07;11303;30;OXIDO DE ZINC-ACIDO BORICO-VIT.A-ALANTOINA
HIPOGLOS POMADA  C/110 G.;ANDROMACO ;$152.97;$119.31;11304;30;OXIDO DE ZINC-ACIDO BORICO-VITAMINA A-ALANTOINA
ACON 50000UI CAP C40           ;SANOFI AVE;$156.72;$109.37;11337;25;RETINOL
ASCRIPTIN AD 625MG TAB C50     ;SANOFI AVE;$116.89;$80.52;11340;30;ACIDO ACETILSALICILICO-ALUMINIO-MAGNESIO
BIFEBRAL 400MG CPR C12         ;SANFER    ;$222.00;$155.40;11342;25;KETOPROFENO-PARACETAMOL
DESENEX CMA. 22.06 G./100 G. C/48 G.;SANOFI AVE;$83.70;$50.73;11352;30;ACIDO UNDECILENICO
FISOPRED PED SOL 100ML         ;SANOFI AVE;$382.32;$266.81;11355;25;PREDNISOLONA
A1.FLAGYL 125MG SUSP 120ML        ;SANOFI AVE;$103.20;$72.02;11356;25;METRONIDAZOL
A1.FLAGYL 250MG CPR C30           ;SANOFI AVE;$83.94;$58.58;11357;25;METRONIDAZOL
A1.FLAGYL 250MG SUSP 120ML        ;SANOFI AVE;$169.67;$118.41;11358;25;METRONIDAZOL
A1.FLAGYL 500MG CPR C30           ;SANOFI AVE;$156.91;$109.50;11359;25;METRONIDAZOL
FLAGYL V 500MG OV C10          ;SANOFI AVE;$134.85;$94.11;11360;25;METRONIDAZOL
A1.FLAGYL 500MG INY BSA 100ML     ;SANOFI AVE;$200.17;$178.09;11361;25;METRONIDAZOL
FLAGYSTATIN V 500MG OV C10     ;SANOFI AVE;$365.00;$254.72;11362;25;METRONIDAZOL-NISTATINA
MELOX PLUS CZA SUSP 360ML      ;SANOFI AVE;$97.08;$60.19;11369;30;HIDROXIDO DE ALUMINIO-HIDROXIDO DE MAGNESIO-DIMETICONA
MELOX PLUS MTA SUSP 360ML      ;SANOFI AVE;$97.08;$60.19;11371;30;ALUMINIO-MAGNESIO-DIMETICONA
OPTICROM OFT 4% SOL 5ML        ;DISTRIPHAR;$117.90;$94.93;11379;25;NO ESPECIFICADO
PROFENID 200MG CPR C20         ;SANOFI AVE;$686.83;$479.31;11388;25;KETOPROFENO
SECNIDAL 500MG CPR C8          ;SANOFI AVE;$401.94;$280.50;11394;25;SECNIDAZOL
TING PVO AER 150G              ;SANOFI AVE;$125.16;$75.88;11400;30;ACIDO UNDECILENICO-UNDECILENATO DE ZINC-TRICLOSAN
TING CRA 28G                   ;SANOFI AVE;$78.63;$47.67;11404;30;ACIDO UNDECILENICO-UNDECILENICO ZINC-TRICLOSAN
TING CRA 72G                   ;SANOFI AVE;$123.14;$74.65;11406;30;ACIDO U8NDECILENICO-UNDECILENATO DE ZIC-TRICLOSAN
TING PVO AER 80G               ;SANOFI AVE;$101.84;$61.73;11407;30;ACIDO UNDECILENICO-UNDECILENATO DE ZINC-TRICLOSAN
TING PVO 160G                  ;SANOFI AVE;$139.17;$84.38;11408;30;ACIDO UNDECILENICO-UNDECILENATO DE ZINC-TRICLOSAN
TING PVO 45G                   ;SANOFI AVE;$73.38;$44.49;11409;30;ACIDO UNDECILENICO-UNDECILENATO DE ZINC-TRICLOSAN
TING PVO 85G                   ;SANOFI AVE;$101.65;$61.62;11410;30;ACIDO UNDECILENICO-UNDECILENATO DE ZINC-TRICLOSAN
ADEROGYL C GTS 10ML            ;SANOFI AVE;$87.92;$50.27;11412;25;VITAMINA-A-D-C
ADEROGYL 15 AMP ORAL 3ML C1    ;SANOFI AVE;$35.27;$20.17;11413;25;VITAMINAS A-D-C
ALLEGRA 120MG CPR C10          ;SANOFI AVE;$380.32;$265.42;11414;25;FEXOFENADINA
ALLEGRA 180MG CPR C10          ;SANOFI AVE;$455.49;$317.87;11415;25;FEXOFENADINA
AMARYL 2MG TAB C15             ;SANOFI AVE;$345.89;$241.38;11418;25;GLIMEPIRIDA
AMARYL 4MG TAB C15             ;SANOFI AVE;$607.26;$423.79;11419;25;GLIMEPIRIDA
BEDOCECAL SUSP 340ML           ;SANOFI AVE;$236.05;$162.61;11424;25;FOSFATO TRICALCICO-CIANOCOBALAMINA
